author,count,conference,year
Ming-Hsuan Yang,11,CVPR,2016
Xiaogang Wang,9,CVPR,2016
Bernt Schiele,8,CVPR,2016
Anton Van Den Hengel,8,CVPR,2016
Luc Van Gool,8,CVPR,2016
Antonio Torralba,7,CVPR,2016
In So Kweon,7,CVPR,2016
Xiaohui Shen,7,CVPR,2016
Jiashi Feng,7,CVPR,2016
Xiaoou Tang,7,CVPR,2016
Wangmeng Zuo,7,CVPR,2016
Lei Zhang,7,CVPR,2016
Trevor Darrell,6,CVPR,2016
Pascal Fua,6,CVPR,2016
Chunhua Shen,6,CVPR,2016
Wanli Ouyang,6,CVPR,2016
Yi Yang,6,CVPR,2016
Li Fei-Fei,6,CVPR,2016
Alan L. Yuille,5,CVPR,2016
Ian Reid,5,CVPR,2016
Brian Price,5,CVPR,2016
Marc Pollefeys,5,CVPR,2016
Mathieu Salzmann,5,CVPR,2016
Silvio Savarese,5,CVPR,2016
Liang Lin,5,CVPR,2016
Shuicheng Yan,5,CVPR,2016
Raquel Urtasun,5,CVPR,2016
Abhinav Gupta,5,CVPR,2016
Ali Farhadi,5,CVPR,2016
Zhe Lin,5,CVPR,2016
Konrad Schindler,5,CVPR,2016
Stefanos Zafeiriou,5,CVPR,2016
Bohyung Han,4,CVPR,2016
Hamed Pirsiavash,4,CVPR,2016
Qinfeng Shi,4,CVPR,2016
Scott Cohen,4,CVPR,2016
Xiang Bai,4,CVPR,2016
Dacheng Tao,4,CVPR,2016
Michael J. Black,4,CVPR,2016
Jingdong Wang,4,CVPR,2016
Qi Tian,4,CVPR,2016
Kristen Grauman,4,CVPR,2016
Michael S. Brown,4,CVPR,2016
Sanja Fidler,4,CVPR,2016
Junwei Han,4,CVPR,2016
Ross Girshick,4,CVPR,2016
Chen-Change Loy,4,CVPR,2016
Hongsheng Li,4,CVPR,2016
Dhruv Batra,4,CVPR,2016
Xiaokang Yang,4,CVPR,2016
Ting Yao,4,CVPR,2016
Tao Mei,4,CVPR,2016
Hongdong Li,4,CVPR,2016
Yong Rui,4,CVPR,2016
Gang Wang,4,CVPR,2016
Mubarak Shah,4,CVPR,2016
Yuanqing Lin,4,CVPR,2016
Yoichi Sato,4,CVPR,2016
Andrew Zisserman,4,CVPR,2016
Tat-Jun Chin,4,CVPR,2016
Greg Mori,4,CVPR,2016
Yu Qiao,4,CVPR,2016
Qiang Ji,4,CVPR,2016
Devi Parikh,4,CVPR,2016
Marcus Rohrbach,3,CVPR,2016
Kevin Murphy,3,CVPR,2016
Zeynep Akata,3,CVPR,2016
Honglak Lee,3,CVPR,2016
Gaurav Sharma,3,CVPR,2016
Matthias Hein,3,CVPR,2016
Boqing Gong,3,CVPR,2016
Carl Vondrick,3,CVPR,2016
Vincent Lepetit,3,CVPR,2016
Alexei A. Efros,3,CVPR,2016
Shahram Izadi,3,CVPR,2016
Anthony Dick,3,CVPR,2016
Xiaoming Liu,3,CVPR,2016
Rodrigo Benenson,3,CVPR,2016
Mohamed Omran,3,CVPR,2016
Jimei Yang,3,CVPR,2016
Lingqiao Liu,3,CVPR,2016
Derek Hoiem,3,CVPR,2016
Thomas S. Huang,3,CVPR,2016
Bjoern Andres,3,CVPR,2016
Jinshan Pan,3,CVPR,2016
Zhe Hu,3,CVPR,2016
Kris M. Kitani,3,CVPR,2016
Xiaodan Liang,3,CVPR,2016
