author,count,conference,year
Luc Van Gool,7,CVPR,2013
Shuicheng Yan,6,CVPR,2013
Lei Zhang,6,CVPR,2013
Shih-Fu Chang,6,CVPR,2013
Mubarak Shah,6,CVPR,2013
Xiaogang Wang,6,CVPR,2013
Marc Pollefeys,5,CVPR,2013
Andrew Zisserman,5,CVPR,2013
Zhe Lin,5,CVPR,2013
Ming-Hsuan Yang,5,CVPR,2013
Jian Sun,5,CVPR,2013
Rama Chellappa,5,CVPR,2013
Pascal Fua,5,CVPR,2013
Song-Chun Zhu,5,CVPR,2013
Raquel Urtasun,5,CVPR,2013
Chunhua Shen,5,CVPR,2013
Anton Van Den Hengel,5,CVPR,2013
Larry S. Davis,4,CVPR,2013
Devi Parikh,4,CVPR,2013
Pushmeet Kohli,4,CVPR,2013
Silvio Savarese,4,CVPR,2013
Horst Bischof,4,CVPR,2013
Ping Tan,4,CVPR,2013
Weiming Hu,4,CVPR,2013
Yi Ma,4,CVPR,2013
Zicheng Liu,4,CVPR,2013
Ayellet Tal,4,CVPR,2013
Xiaoou Tang,4,CVPR,2013
Ce Liu,3,CVPR,2013
Kristen Grauman,3,CVPR,2013
Lourdes Agapito,3,CVPR,2013
Zhuolin Jiang,3,CVPR,2013
C. L. Zitnick,3,CVPR,2013
Roland Angst,3,CVPR,2013
Jingyi Yu,3,CVPR,2013
Jonathan Brandt,3,CVPR,2013
Jianchao Yang,3,CVPR,2013
Robert T. Collins,3,CVPR,2013
Yuri Boykov,3,CVPR,2013
Fernando De La Torre,3,CVPR,2013
Jaishanker K. Pillai,3,CVPR,2013
Gregory Shakhnarovich,3,CVPR,2013
Peter M. Roth,3,CVPR,2013
Richard Hartley,3,CVPR,2013
Zhuowen Tu,3,CVPR,2013
Ali Farhadi,3,CVPR,2013
Yizhou Wang,3,CVPR,2013
Andrew Gallagher,3,CVPR,2013
Tsuhan Chen,3,CVPR,2013
Dinggang Shen,3,CVPR,2013
Cordelia Schmid,3,CVPR,2013
Stephen Lin,3,CVPR,2013
Deva Ramanan,3,CVPR,2013
Li Fei-Fei,3,CVPR,2013
Liang Lin,3,CVPR,2013
Scott Cohen,3,CVPR,2013
Qinfeng Shi,3,CVPR,2013
Dong Xu,3,CVPR,2013
Mathieu Salzmann,3,CVPR,2013
Sing Bing Kang,3,CVPR,2013
Sanja Fidler,3,CVPR,2013
Qiang Ji,3,CVPR,2013
Hailin Jin,3,CVPR,2013
Liangliang Cao,3,CVPR,2013
Wanli Ouyang,3,CVPR,2013
Jitendra Malik,3,CVPR,2013
Serge Belongie,3,CVPR,2013
Dong Liu,3,CVPR,2013
Alan L. Yuille,3,CVPR,2013
Konrad Schindler,3,CVPR,2013
Jiaya Jia,3,CVPR,2013
Rui Shi,2,CVPR,2013
Wei Zeng,2,CVPR,2013
Zhengyu Su,2,CVPR,2013
Yalin Wang,2,CVPR,2013
Shing-Tung Yau,2,CVPR,2013
Xianfeng Gu,2,CVPR,2013
Jeffrey Ho,2,CVPR,2013
Cha Zhang,2,CVPR,2013
Zhengyou Zhang,2,CVPR,2013
Tony X. Han,2,CVPR,2013
Jinwei Ye,2,CVPR,2013
Yu Ji,2,CVPR,2013
Tao Xiang,2,CVPR,2013
Kyoung Mu Lee,2,CVPR,2013
Amit K. Roy-Chowdhury,2,CVPR,2013
Xiaofeng Ren,2,CVPR,2013
Kaiming He,2,CVPR,2013
Manmohan Chandraker,2,CVPR,2013
Raffay Hamid,2,CVPR,2013
Chih-Jen Lin,2,CVPR,2013
Omar Javed,2,CVPR,2013
Vishal M. Patel,2,CVPR,2013
Paul Wohlhart,2,CVPR,2013
Christian Leistner,2,CVPR,2013
Thomas Brox,2,CVPR,2013
C.V. Jawahar,2,CVPR,2013
Adrien Bartoli,2,CVPR,2013
Zhe Wu,2,CVPR,2013
Svetlana Lazebnik,2,CVPR,2013
Yi Yang,2,CVPR,2013
Derek Hoiem,2,CVPR,2013
Jianxiong Xiao,2,CVPR,2013
James Hays,2,CVPR,2013
Srikumar Ramalingam,2,CVPR,2013
Chunfeng Yuan,2,CVPR,2013
Xi Li,2,CVPR,2013
Haibin Ling,2,CVPR,2013
Mohammad Rastegari,2,CVPR,2013
Lena Gorelick,2,CVPR,2013
Qi Tian,2,CVPR,2013
Xiaowu Chen,2,CVPR,2013
Armand Joulin,2,CVPR,2013
Feng Wu,2,CVPR,2013
Eric P. Xing,2,CVPR,2013
Ying Wu,2,CVPR,2013
Honglak Lee,2,CVPR,2013
Hanspeter Pfister,2,CVPR,2013
Yanning Zhang,2,CVPR,2013
Zhong Zhang,2,CVPR,2013
Chunheng Wang,2,CVPR,2013
Baihua Xiao,2,CVPR,2013
Cunzhao Shi,2,CVPR,2013
Carsten Rother,2,CVPR,2013
Stefan Roth,2,CVPR,2013
Ben Taskar,2,CVPR,2013
Herve Jegou,2,CVPR,2013
Chris Russell,2,CVPR,2013
Yuichi Taguchi,2,CVPR,2013
Vikas Singh,2,CVPR,2013
Michael Donoser,2,CVPR,2013
Haitao Wang,2,CVPR,2013
Xing Mei,2,CVPR,2013
Piotr Dollar,2,CVPR,2013
Christopher Zach,2,CVPR,2013
Erik Rodner,2,CVPR,2013
Stefano Soatto,2,CVPR,2013
Rahul Sukthankar,2,CVPR,2013
Jay Yagnik,2,CVPR,2013
Sven Wanner,2,CVPR,2013
Bastian Goldluecke,2,CVPR,2013
Hongdong Li,2,CVPR,2013
Xuming He,2,CVPR,2013
Hajime Nagahara,2,CVPR,2013
Atsushi Shimada,2,CVPR,2013
Rin-Ichiro Taniguchi,2,CVPR,2013
Jue Wang,2,CVPR,2013
Gang Hua,2,CVPR,2013
Zhen Lei,2,CVPR,2013
Stan Z. Li,2,CVPR,2013
Noah Snavely,2,CVPR,2013
Vincent Lepetit,2,CVPR,2013
Guang Shu,2,CVPR,2013
Guiguang Ding,2,CVPR,2013
Jianmin Wang,2,CVPR,2013
Zicheng Liao,2,CVPR,2013
Jason Rock,2,CVPR,2013
Roozbeh Mottaghi,2,CVPR,2013
Alan Yuille,2,CVPR,2013
Qiang Chen,2,CVPR,2013
Zhongyang Huang,2,CVPR,2013
Zihan Zhou,2,CVPR,2013
Ramakrishna Kakarala,2,CVPR,2013
Vittal Premachandran,2,CVPR,2013
Luigi Di Stefano,2,CVPR,2013
Jamie Shotton,2,CVPR,2013
Antonio Criminisi,2,CVPR,2013
Luming Zhang,2,CVPR,2013
Mingli Song,2,CVPR,2013
Xiao Liu,2,CVPR,2013
Jiajun Bu,2,CVPR,2013
Chun Chen,2,CVPR,2013
Ahmed Elgammal,2,CVPR,2013
Huchuan Lu,2,CVPR,2013
Jingchen Liu,2,CVPR,2013
Peter Carr,2,CVPR,2013
Yanxi Liu,2,CVPR,2013
Roberto Cipolla,2,CVPR,2013
Raghuraman Gopalan,2,CVPR,2013
Luping Zhou,2,CVPR,2013
Lei Wang,2,CVPR,2013
Chris Ding,2,CVPR,2013
Tian Lan,2,CVPR,2013
Greg Mori,2,CVPR,2013
Imari Sato,2,CVPR,2013
Yasuyuki Matsushita,2,CVPR,2013
Jonathan T. Barron,2,CVPR,2013
Francesc Moreno-Noguer,2,CVPR,2013
Kobus Barnard,2,CVPR,2013
Lihi Zelnik-Manor,2,CVPR,2013
John R. Smith,2,CVPR,2013
Peng Wang,2,CVPR,2013
Jingdong Wang,2,CVPR,2013
Shipeng Li,2,CVPR,2013
Yaser Sheikh,2,CVPR,2013
Arpit Jain,2,CVPR,2013
Li Xu,2,CVPR,2013
Yibiao Zhao,2,CVPR,2013
Peter Gehler,2,CVPR,2013
Bernt Schiele,2,CVPR,2013
Ashutosh Saxena,2,CVPR,2013
Takayuki Okatani,2,CVPR,2013
Koichiro Deguchi,2,CVPR,2013
Rui Li,2,CVPR,2013
Stefanos Zafeiriou,2,CVPR,2013
Maja Pantic,2,CVPR,2013
Pablo Arbelaez,2,CVPR,2013
Michael Stark,2,CVPR,2013
Josef Sivic,2,CVPR,2013
Tomas Pajdla,2,CVPR,2013
Masatoshi Okutomi,2,CVPR,2013
Stefan Harmeling,2,CVPR,2013
Bernhard Scholkopf,2,CVPR,2013
Katsushi Ikeuchi,2,CVPR,2013
Philip H.S. Torr,2,CVPR,2013
Takeo Kanade,2,CVPR,2013
Fang Wen,2,CVPR,2013
Jiangbo Lu,2,CVPR,2013
Irfan Essa,2,CVPR,2013
Hee Seok Lee,2,CVPR,2013
Kuoung Mu Lee,2,CVPR,2013
Jaechul Kim,1,CVPR,2013
Fei Sha,1,CVPR,2013
Dror Sholomon,1,CVPR,2013
Omid David,1,CVPR,2013
Nathan S. Netanyahu,1,CVPR,2013
Yujia Li,1,CVPR,2013
Daniel Tarlow,1,CVPR,2013
Richard Zemel,1,CVPR,2013
Hanna Damasio,1,CVPR,2013
Zhonglin Lu,1,CVPR,2013
Ravi Garg,1,CVPR,2013
Anastasios Roussos,1,CVPR,2013
Yuichi Takeda,1,CVPR,2013
Shinsaku Hiura,1,CVPR,2013
Kosuke Sato,1,CVPR,2013
Roisin Rowley-Brooke,1,CVPR,2013
Francois Pitie,1,CVPR,2013
Anil Kokaram,1,CVPR,2013
J. Kappes,1,CVPR,2013
B. Andres,1,CVPR,2013
F. Hamprecht,1,CVPR,2013
C. Schnorr,1,CVPR,2013
S. Nowozin,1,CVPR,2013
D. Batra,1,CVPR,2013
S. Kim,1,CVPR,2013
B. Kausler,1,CVPR,2013
J. Lellmann,1,CVPR,2013
N. Komodakis,1,CVPR,2013
C. Rother,1,CVPR,2013
Lu Xia,1,CVPR,2013
J.K. Aggarwal,1,CVPR,2013
Dan Levi,1,CVPR,2013
Shai Silberstein,1,CVPR,2013
Aharon Bar-Hillel,1,CVPR,2013
Dohyung Seo,1,CVPR,2013
Baba C. Vemuri,1,CVPR,2013
Linjie Luo,1,CVPR,2013
Szymon Rusinkiewicz,1,CVPR,2013
Jose Henrique Brito,1,CVPR,2013
Kevin Koser,1,CVPR,2013
Maria Zontak,1,CVPR,2013
Inbar Mosseri,1,CVPR,2013
Michal Irani,1,CVPR,2013
Guang Chen,1,CVPR,2013
Yuanyuan Ding,1,CVPR,2013
Jing Xiao,1,CVPR,2013
Ke Chen,1,CVPR,2013
Shaogang Gong,1,CVPR,2013
Chen Change Loy,1,CVPR,2013
Heesoo Myeong,1,CVPR,2013
Hidekata Hontani,1,CVPR,2013
Yuto Tsunekawa,1,CVPR,2013
Yoshihide Sawada,1,CVPR,2013
Thomas Berg,1,CVPR,2013
Peter N. Belhumeur,1,CVPR,2013
Xavier Boix,1,CVPR,2013
Michael Gygli,1,CVPR,2013
Gemma Roig,1,CVPR,2013
Huizhong Chen,1,CVPR,2013
Andrew C. Gallagher,1,CVPR,2013
Bernd Girod,1,CVPR,2013
Yingying Zhu,1,CVPR,2013
Nandita M. Nayak,1,CVPR,2013
Carlos Arteta,1,CVPR,2013
Victor Lempitsky,1,CVPR,2013
J. A. Noble,1,CVPR,2013
Brandon M. Smith,1,CVPR,2013
Li Zhang,1,CVPR,2013
Liefeng Bo,1,CVPR,2013
Dieter Fox,1,CVPR,2013
Shengfeng He,1,CVPR,2013
Qingxiong Yang,1,CVPR,2013
Rynson W.H. Lau,1,CVPR,2013
Jiang Wang,1,CVPR,2013
Tiezheng Ge,1,CVPR,2013
Qifa Ke,1,CVPR,2013
Tobias Baumgartner,1,CVPR,2013
Dennis Mitzel,1,CVPR,2013
Bastian Leibe,1,CVPR,2013
Asad A. Butt,1,CVPR,2013
Carl Olsson,1,CVPR,2013
Johannes Ulen,1,CVPR,2013
Giuseppe Ottaviano,1,CVPR,2013
Sid Yingze Bao,1,CVPR,2013
Yuanqing Lin,1,CVPR,2013
Aditya Khosla,1,CVPR,2013
Neel Sundaresan,1,CVPR,2013
Feng Zhou,1,CVPR,2013
Ishani Chakraborty,1,CVPR,2013
Hui Cheng,1,CVPR,2013
Yi-Chen Chen,1,CVPR,2013
P. J. Phillips,1,CVPR,2013
Ning Zhu,1,CVPR,2013
Albert C.S. Chung,1,CVPR,2013
