author,count,conference,year
Luc Van Gool,8,CVPR,2014
Stefanos Zafeiriou,7,CVPR,2014
Xiaogang Wang,7,CVPR,2014
Shuicheng Yan,7,CVPR,2014
Marc Pollefeys,6,CVPR,2014
Mubarak Shah,6,CVPR,2014
Jiaya Jia,6,CVPR,2014
Raquel Urtasun,6,CVPR,2014
Jian Sun,6,CVPR,2014
Maja Pantic,5,CVPR,2014
Kristen Grauman,5,CVPR,2014
Song-Chun Zhu,5,CVPR,2014
Alan L. Yuille,5,CVPR,2014
Ming-Hsuan Yang,5,CVPR,2014
Trevor Darrell,5,CVPR,2014
Andrew Zisserman,5,CVPR,2014
Sanja Fidler,5,CVPR,2014
Jingyi Yu,5,CVPR,2014
Qi Tian,5,CVPR,2014
Zhouchen Lin,5,CVPR,2014
Bernt Schiele,4,CVPR,2014
Iasonas Kokkinos,4,CVPR,2014
Ling Shao,4,CVPR,2014
Deva Ramanan,4,CVPR,2014
Mathieu Salzmann,4,CVPR,2014
Cewu Lu,4,CVPR,2014
Subhransu Maji,4,CVPR,2014
Junmo Kim,4,CVPR,2014
Xiaoou Tang,4,CVPR,2014
Gang Hua,4,CVPR,2014
Narendra Ahuja,4,CVPR,2014
Tae-Kyun Kim,4,CVPR,2014
Sing Bing Kang,4,CVPR,2014
Shiguang Shan,4,CVPR,2014
David Doermann,4,CVPR,2014
Eric P. Xing,4,CVPR,2014
Cordelia Schmid,4,CVPR,2014
Martial Hebert,3,CVPR,2014
Fredrik Kahl,3,CVPR,2014
Yi Yang,3,CVPR,2014
Bjorn Stenger,3,CVPR,2014
Pietro Perona,3,CVPR,2014
Ali Farhadi,3,CVPR,2014
Jitendra Malik,3,CVPR,2014
Dieter Schmalstieg,3,CVPR,2014
Ross Girshick,3,CVPR,2014
Mao Ye,3,CVPR,2014
Ruigang Yang,3,CVPR,2014
Jamie Shotton,3,CVPR,2014
Shahram Izadi,3,CVPR,2014
Andrew Fitzgibbon,3,CVPR,2014
Xiaobai Liu,3,CVPR,2014
Cees G.M. Snoek,3,CVPR,2014
Chi-Keung Tang,3,CVPR,2014
Qiang Ji,3,CVPR,2014
Jianchao Yang,3,CVPR,2014
Yu-Wing Tai,3,CVPR,2014
Shih-Fu Chang,3,CVPR,2014
Fatih Porikli,3,CVPR,2014
C. V. Jawahar,3,CVPR,2014
Yichen Wei,3,CVPR,2014
Pushmeet Kohli,3,CVPR,2014
Yuri Boykov,3,CVPR,2014
Slobodan Ilic,3,CVPR,2014
Longyin Wen,3,CVPR,2014
Stan Z. Li,3,CVPR,2014
Chetan Arora,3,CVPR,2014
Kyoung Mu Lee,3,CVPR,2014
Oren Freifeld,3,CVPR,2014
Michael J. Black,3,CVPR,2014
Ying Wu,3,CVPR,2014
Li Fei-Fei,3,CVPR,2014
Yasuyuki Matsushita,3,CVPR,2014
Xilin Chen,3,CVPR,2014
Andrea Vedaldi,3,CVPR,2014
Peng Ye,3,CVPR,2014
Yi Li,3,CVPR,2014
Jonathan Brandt,3,CVPR,2014
Zhe Lin,3,CVPR,2014
Yoichi Sato,3,CVPR,2014
Weiming Hu,3,CVPR,2014
Stefano Soatto,3,CVPR,2014
In So Kweon,3,CVPR,2014
Dinggang Shen,3,CVPR,2014
