author,count,conference,year
Ming-Hsuan Yang,9,CVPR,2015
Jitendra Malik,9,CVPR,2015
Xiaoou Tang,9,CVPR,2015
Chunhua Shen,8,CVPR,2015
Jian Sun,8,CVPR,2015
Xiaogang Wang,8,CVPR,2015
Anton Van Den Hengel,8,CVPR,2015
Shuicheng Yan,7,CVPR,2015
Bernt Schiele,7,CVPR,2015
Wei Liu,6,CVPR,2015
Shahram Izadi,6,CVPR,2015
Luc Van Gool,6,CVPR,2015
Raquel Urtasun,6,CVPR,2015
Bernard Ghanem,5,CVPR,2015
Kaiming He,5,CVPR,2015
Stefano Soatto,5,CVPR,2015
Zhe Lin,5,CVPR,2015
Alan L. Yuille,5,CVPR,2015
Sanja Fidler,5,CVPR,2015
Li Fei-Fei,5,CVPR,2015
William T. Freeman,5,CVPR,2015
Leonid Sigal,4,CVPR,2015
Huchuan Lu,4,CVPR,2015
Shiguang Shan,4,CVPR,2015
Sinisa Todorovic,4,CVPR,2015
Marc Pollefeys,4,CVPR,2015
Silvio Savarese,4,CVPR,2015
Trevor Darrell,4,CVPR,2015
Horst Bischof,4,CVPR,2015
Andrew Fitzgibbon,4,CVPR,2015
Jianchao Yang,4,CVPR,2015
Dacheng Tao,4,CVPR,2015
Stan Z. Li,4,CVPR,2015
Hongsheng Li,4,CVPR,2015
Xiaokang Yang,4,CVPR,2015
Christoph H. Lampert,4,CVPR,2015
Brian Price,4,CVPR,2015
Jan-Michael Frahm,4,CVPR,2015
In So Kweon,4,CVPR,2015
Gang Wang,4,CVPR,2015
Xiaohui Shen,4,CVPR,2015
Devi Parikh,4,CVPR,2015
Vittorio Ferrari,4,CVPR,2015
Christian Theobalt,4,CVPR,2015
Fredo Durand,4,CVPR,2015
Rob Fergus,3,CVPR,2015
Stefanos Zafeiriou,3,CVPR,2015
Michael J. Black,3,CVPR,2015
Zhiwu Huang,3,CVPR,2015
Ruiping Wang,3,CVPR,2015
Xilin Chen,3,CVPR,2015
Si Liu,3,CVPR,2015
Yu-Wing Tai,3,CVPR,2015
Stephen Lin,3,CVPR,2015
Yoichi Sato,3,CVPR,2015
Alex G. Hauptmann,3,CVPR,2015
James M. Rehg,3,CVPR,2015
Jiwen Lu,3,CVPR,2015
Junwei Han,3,CVPR,2015
Christian Hane,3,CVPR,2015
Yi Li,3,CVPR,2015
Ross Girshick,3,CVPR,2015
Pablo Arbelaez,3,CVPR,2015
Jonathan Taylor,3,CVPR,2015
Hanspeter Pfister,3,CVPR,2015
Jianxiong Xiao,3,CVPR,2015
Mathieu Salzmann,3,CVPR,2015
Xuming He,3,CVPR,2015
Vladlen Koltun,3,CVPR,2015
Tomas Pajdla,3,CVPR,2015
Jiaya Jia,3,CVPR,2015
Kris M. Kitani,3,CVPR,2015
Josef Sivic,3,CVPR,2015
Yichen Wei,3,CVPR,2015
Mohammad Rastegari,3,CVPR,2015
Jean Ponce,3,CVPR,2015
Xiangyu Zhu,3,CVPR,2015
Zhen Lei,3,CVPR,2015
Hassan Foroosh,3,CVPR,2015
Juan Carlos Niebles,3,CVPR,2015
Andrea Vedaldi,3,CVPR,2015
Scott Cohen,3,CVPR,2015
Johannes L. Schonberger,3,CVPR,2015
Kyoung Mu Lee,3,CVPR,2015
Tinne Tuytelaars,3,CVPR,2015
Pierre Moulin,3,CVPR,2015
Mubarak Shah,3,CVPR,2015
Cordelia Schmid,3,CVPR,2015
Liang Lin,3,CVPR,2015
C. Lawrence Zitnick,3,CVPR,2015
Pushmeet Kohli,3,CVPR,2015
Shubham Tulsiani,3,CVPR,2015
Wolfgang Heidrich,3,CVPR,2015
Gang Hua,3,CVPR,2015
Jingdong Wang,3,CVPR,2015
Martial Hebert,3,CVPR,2015
Yi Yang,3,CVPR,2015
Tao Xiang,3,CVPR,2015
Yuanqing Lin,3,CVPR,2015
Takeo Kanade,3,CVPR,2015
Yasuyuki Matsushita,3,CVPR,2015
Nassir Navab,3,CVPR,2015
Rahul Sukthankar,3,CVPR,2015
David Forsyth,3,CVPR,2015
Ping Luo,3,CVPR,2015
Ajmal Mian,3,CVPR,2015
Chang Huang,3,CVPR,2015
Lior Wolf,3,CVPR,2015
Dong Xu,3,CVPR,2015
Pascal Fua,3,CVPR,2015
Nuno Vasconcelos,3,CVPR,2015
Vincent Lepetit,3,CVPR,2015
Chen Change Loy,3,CVPR,2015
Yangqing Jia,2,CVPR,2015
Scott Reed,2,CVPR,2015
Dumitru Erhan,2,CVPR,2015
Fei Yang,2,CVPR,2015
Lubomir Bourdev,2,CVPR,2015
Heng Tao Shen,2,CVPR,2015
Yen-Yu Lin,2,CVPR,2015
Yung-Yu Chuang,2,CVPR,2015
Sing Bing Kang,2,CVPR,2015
Kuk-Jin Yoon,2,CVPR,2015
Changsheng Xu,2,CVPR,2015
Narendra Ahuja,2,CVPR,2015
Imari Sato,2,CVPR,2015
Shih-Fu Chang,2,CVPR,2015
Kun Zhou,2,CVPR,2015
Honglak Lee,2,CVPR,2015
Spyridon Leonardos,2,CVPR,2015
Kostas Daniilidis,2,CVPR,2015
Edmond Boyer,2,CVPR,2015
Yin Li,2,CVPR,2015
Steven M. Seitz,2,CVPR,2015
Yang Li,2,CVPR,2015
Dingwen Zhang,2,CVPR,2015
Tianming Liu,2,CVPR,2015
Feng Liu,2,CVPR,2015
Lubor Ladicky,2,CVPR,2015
Cornelia Fermuller,2,CVPR,2015
Yiannis Aloimonos,2,CVPR,2015
Yu Xiang,2,CVPR,2015
Forrest Iandola,2,CVPR,2015
Wen Gao,2,CVPR,2015
Jonathan Balzer,2,CVPR,2015
Thomas Pock,2,CVPR,2015
Abhinav Gupta,2,CVPR,2015
Shuran Song,2,CVPR,2015
Hailin Jin,2,CVPR,2015
Xiaochun Cao,2,CVPR,2015
Huazhu Fu,2,CVPR,2015
Pietro Perona,2,CVPR,2015
Serge Belongie,2,CVPR,2015
Miaomiao Liu,2,CVPR,2015
Qian-Yi Zhou,2,CVPR,2015
Zuzana Kukelova,2,CVPR,2015
Jonathan Tompson,2,CVPR,2015
Arjun Jain,2,CVPR,2015
Yann Lecun,2,CVPR,2015
Li Xu,2,CVPR,2015
Junmo Kim,2,CVPR,2015
Ivan Laptev,2,CVPR,2015
Boyan Bonev,2,CVPR,2015
Yu Zhu,2,CVPR,2015
Ali Farhadi,2,CVPR,2015
Cewu Lu,2,CVPR,2015
Junjie Yan,2,CVPR,2015
Marianna Pensky,2,CVPR,2015
Shuang Liang,2,CVPR,2015
Zheng Zhang,2,CVPR,2015
Andrew C. Gallagher,2,CVPR,2015
Francesc Moreno-Noguer,2,CVPR,2015
Brandon Rothrock,2,CVPR,2015
Minsik Lee,2,CVPR,2015
Raffay Hamid,2,CVPR,2015
Matthias Hein,2,CVPR,2015
Fabian Caba Heilbron,2,CVPR,2015
Victor Escorcia,2,CVPR,2015
Lingqiao Liu,2,CVPR,2015
Mario Fritz,2,CVPR,2015
Andreas Bulling,2,CVPR,2015
Alexander C. Berg,2,CVPR,2015
Hongdong Li,2,CVPR,2015
Jaesik Park,2,CVPR,2015
Jiang Liu,2,CVPR,2015
Qi Zhao,2,CVPR,2015
Jia Deng,2,CVPR,2015
Yang Song,2,CVPR,2015
Samy Bengio,2,CVPR,2015
Liang Wang,2,CVPR,2015
Jie Zhou,2,CVPR,2015
Afshin Dehghan,2,CVPR,2015
Philip H. S. Torr,2,CVPR,2015
Jerome Revaud,2,CVPR,2015
Philippe Weinzaepfel,2,CVPR,2015
Zaid Harchaoui,2,CVPR,2015
Stella X. Yu,2,CVPR,2015
Minsu Cho,2,CVPR,2015
Andrea Torsello,2,CVPR,2015
Anuj Srivastava,2,CVPR,2015
Jingyong Su,2,CVPR,2015
Laurent Kneip,2,CVPR,2015
Wanli Ouyang,2,CVPR,2015
Jin Xie,2,CVPR,2015
Yi Fang,2,CVPR,2015
Fan Zhu,2,CVPR,2015
Edward Wong,2,CVPR,2015
Naiyan Wang,2,CVPR,2015
Dit-Yan Yeung,2,CVPR,2015
Caiming Xiong,2,CVPR,2015
Edward H. Adelson,2,CVPR,2015
Oliver Wang,2,CVPR,2015
Alexander Sorkine-Hornung,2,CVPR,2015
Kalle Astrom,2,CVPR,2015
Saurabh Gupta,2,CVPR,2015
Cem Keskin,2,CVPR,2015
Zejian Yuan,2,CVPR,2015
Nanning Zheng,2,CVPR,2015
Adrien Bartoli,2,CVPR,2015
Richard Hartley,2,CVPR,2015
Qionghai Dai,2,CVPR,2015
Fisher Yu,2,CVPR,2015
Qi Tian,2,CVPR,2015
Rodrigo Benenson,2,CVPR,2015
Jimei Yang,2,CVPR,2015
Honggang Zhang,2,CVPR,2015
Xiang Ruan,2,CVPR,2015
Abhishek Kar,2,CVPR,2015
Joao Carreira,2,CVPR,2015
Gunhee Kim,2,CVPR,2015
Seungwhan Moon,2,CVPR,2015
Fan Zhang,2,CVPR,2015
Hayko Riemenschneider,2,CVPR,2015
Michael Rubinstein,2,CVPR,2015
Shai Avidan,2,CVPR,2015
Nicu Sebe,2,CVPR,2015
Zhouchen Lin,2,CVPR,2015
Bumsub Ham,2,CVPR,2015
Minh N. Do,2,CVPR,2015
Horst Possegger,2,CVPR,2015
Thomas Mauthner,2,CVPR,2015
Olga Russakovsky,2,CVPR,2015
Li-Jia Li,2,CVPR,2015
Houqiang Li,2,CVPR,2015
Tao Mei,2,CVPR,2015
Octavia Camps,2,CVPR,2015
Mario Sznaier,2,CVPR,2015
Kwang In Kim,2,CVPR,2015
James Tompkin,2,CVPR,2015
Wen-Sheng Chu,2,CVPR,2015
Fernando De La Torre,2,CVPR,2015
Jia Xu,2,CVPR,2015
Vikas Singh,2,CVPR,2015
Jason J. Corso,2,CVPR,2015
Lei Zhang,2,CVPR,2015
Yanning Zhang,2,CVPR,2015
Rama Chellappa,2,CVPR,2015
Meng Wang,2,CVPR,2015
Krystian Mikolajczyk,2,CVPR,2015
Felix Heide,2,CVPR,2015
Yonglong Tian,2,CVPR,2015
Tat-Jun Chin,2,CVPR,2015
Anders Eriksson,2,CVPR,2015
Xinlei Chen,2,CVPR,2015
Till Kroeger,2,CVPR,2015
Dengxin Dai,2,CVPR,2015
Derek Hoiem,2,CVPR,2015
Michael Stark,2,CVPR,2015
Jamie Shotton,2,CVPR,2015
Wei Shen,2,CVPR,2015
Xiang Bai,2,CVPR,2015
Marcus Rohrbach,2,CVPR,2015
Kate Saenko,2,CVPR,2015
Weidong Cai,2,CVPR,2015
David Dagan Feng,2,CVPR,2015
Yaniv Taigman,2,CVPR,2015
Wen Li,2,CVPR,2015
Peng Wang,2,CVPR,2015
Sergey Zagoruyko,2,CVPR,2015
Song Chun Zhu,2,CVPR,2015
