author,count,conference,year
Xiaogang Wang,12,CVPR,2017
Bernt Schiele,12,CVPR,2017
Michael J. Black,11,CVPR,2017
Marc Pollefeys,9,CVPR,2017
Jiashi Feng,9,CVPR,2017
Luc Van Gool,8,CVPR,2017
Abhinav Gupta,8,CVPR,2017
Li Fei-Fei,8,CVPR,2017
Philip H. S. Torr,8,CVPR,2017
Daniel Cremers,7,CVPR,2017
Ling Shao,7,CVPR,2017
Liang Lin,7,CVPR,2017
Xiaodan Liang,7,CVPR,2017
Wanli Ouyang,7,CVPR,2017
Shuicheng Yan,7,CVPR,2017
Anton Van Den Hengel,6,CVPR,2017
Gang Hua,6,CVPR,2017
Li Liu,6,CVPR,2017
Fumin Shen,6,CVPR,2017
Manmohan Chandraker,6,CVPR,2017
Carsten Rother,6,CVPR,2017
Thomas Funkhouser,6,CVPR,2017
Ming-Hsuan Yang,6,CVPR,2017
Serge Belongie,6,CVPR,2017
Deva Ramanan,6,CVPR,2017
Trevor Darrell,6,CVPR,2017
Chunhua Shen,6,CVPR,2017
Bernard Ghanem,6,CVPR,2017
Lingqiao Liu,5,CVPR,2017
Stefanos Zafeiriou,5,CVPR,2017
Larry S. Davis,5,CVPR,2017
Sinisa Todorovic,5,CVPR,2017
Devi Parikh,5,CVPR,2017
Scott Cohen,5,CVPR,2017
Ali Farhadi,5,CVPR,2017
Hao Su,5,CVPR,2017
Junjie Yan,5,CVPR,2017
Rodrigo Benenson,5,CVPR,2017
Fatih Porikli,5,CVPR,2017
Torsten Sattler,5,CVPR,2017
Bjoern Andres,5,CVPR,2017
Junsong Yuan,5,CVPR,2017
Andreas Geiger,5,CVPR,2017
Tao Mei,5,CVPR,2017
Yurong Chen,4,CVPR,2017
Javier Romero,4,CVPR,2017
Bingbing Ni,4,CVPR,2017
Kevin Murphy,4,CVPR,2017
Dhruv Batra,4,CVPR,2017
Song-Chun Zhu,4,CVPR,2017
Kaiqi Huang,4,CVPR,2017
Bogdan Savchynskyy,4,CVPR,2017
Fisher Yu,4,CVPR,2017
Gunhee Kim,4,CVPR,2017
Liang Wang,4,CVPR,2017
Guillermo Sapiro,4,CVPR,2017
Jimei Yang,4,CVPR,2017
Raquel Urtasun,4,CVPR,2017
Leonidas J. Guibas,4,CVPR,2017
Antonio Torralba,4,CVPR,2017
Dahua Lin,4,CVPR,2017
Wei Liu,4,CVPR,2017
Xiaohui Shen,4,CVPR,2017
Alexei A. Efros,4,CVPR,2017
Kate Saenko,4,CVPR,2017
Yi Yang,4,CVPR,2017
Jin Young Choi,4,CVPR,2017
Jitendra Malik,4,CVPR,2017
Xiaoming Liu,4,CVPR,2017
Piotr Dollar,4,CVPR,2017
Ross Girshick,4,CVPR,2017
Ming-Ming Cheng,4,CVPR,2017
Bohyung Han,4,CVPR,2017
Xiang Bai,4,CVPR,2017
Vikas Singh,4,CVPR,2017
Chen Fang,4,CVPR,2017
Lei Zhang,4,CVPR,2017
Andrea Vedaldi,4,CVPR,2017
Nicu Sebe,4,CVPR,2017
Stephen Lin,4,CVPR,2017
Ersin Yumer,4,CVPR,2017
Siyu Tang,4,CVPR,2017
