author,count,conference,year
Wei Liu,21,CVPR,2019
Xiaogang Wang,15,CVPR,2019
Alan L. Yuille,12,CVPR,2019
Ling Shao,12,CVPR,2019
Jiwen Lu,11,CVPR,2019
Jie Zhou,10,CVPR,2019
Chunhua Shen,10,CVPR,2019
Qi Tian,10,CVPR,2019
Wei-Shi Zheng,10,CVPR,2019
Luc Van Gool,10,CVPR,2019
Jiaya Jia,10,CVPR,2019
Dacheng Tao,10,CVPR,2019
Marc Pollefeys,9,CVPR,2019
Jiebo Luo,9,CVPR,2019
Chen Change Loy,9,CVPR,2019
Ming-Hsuan Yang,9,CVPR,2019
Liang Lin,9,CVPR,2019
Junjie Yan,9,CVPR,2019
Li Fei-Fei,8,CVPR,2019
Yi Yang,8,CVPR,2019
Dahua Lin,8,CVPR,2019
Ming-Ming Cheng,8,CVPR,2019
Xiaoyong Shen,8,CVPR,2019
Ian Reid,7,CVPR,2019
Silvio Savarese,7,CVPR,2019
Bernt Schiele,7,CVPR,2019
Leonidas J. Guibas,7,CVPR,2019
Hongsheng Li,7,CVPR,2019
Baoyuan Wu,7,CVPR,2019
Wangmeng Zuo,7,CVPR,2019
Huchuan Lu,7,CVPR,2019
Lingxi Xie,7,CVPR,2019
Cheng Deng,7,CVPR,2019
Raquel Urtasun,7,CVPR,2019
Andreas Geiger,7,CVPR,2019
Zhe Lin,6,CVPR,2019
Jianbing Shen,6,CVPR,2019
Philip H.S. Torr,6,CVPR,2019
Larry S. Davis,6,CVPR,2019
Kristen Grauman,6,CVPR,2019
Tao Mei,6,CVPR,2019
Marcus Rohrbach,6,CVPR,2019
Jiashi Feng,6,CVPR,2019
Jianping Shi,6,CVPR,2019
Rongrong Ji,6,CVPR,2019
Xiaoming Liu,6,CVPR,2019
Xin Wang,6,CVPR,2019
Wenguan Wang,6,CVPR,2019
Lei Zhang,6,CVPR,2019
Anton Van Den Hengel,6,CVPR,2019
Alexander G. Schwing,6,CVPR,2019
Xiaodan Liang,6,CVPR,2019
Ali Farhadi,6,CVPR,2019
Mohammad Rastegari,6,CVPR,2019
Matthias Niessner,6,CVPR,2019
Nuno Vasconcelos,6,CVPR,2019
Sanja Fidler,6,CVPR,2019
In So Kweon,5,CVPR,2019
Torsten Sattler,5,CVPR,2019
Xin Li,5,CVPR,2019
Andrew Zisserman,5,CVPR,2019
Jan Kautz,5,CVPR,2019
Tong He,5,CVPR,2019
Liang Zheng,5,CVPR,2019
Li Liu,5,CVPR,2019
Fan Zhu,5,CVPR,2019
Wanli Ouyang,5,CVPR,2019
Stefano Soatto,5,CVPR,2019
Li Yi,5,CVPR,2019
Lin Ma,5,CVPR,2019
Qinfeng Shi,5,CVPR,2019
Peng Wang,5,CVPR,2019
Qixiang Ye,5,CVPR,2019
Nicu Sebe,5,CVPR,2019
Tatsuya Harada,5,CVPR,2019
Patrick Perez,5,CVPR,2019
David Doermann,5,CVPR,2019
Vladlen Koltun,5,CVPR,2019
Zhifeng Li,5,CVPR,2019
Qixing Huang,5,CVPR,2019
Fahad Shahbaz Khan,5,CVPR,2019
Hongdong Li,5,CVPR,2019
Yuchao Dai,5,CVPR,2019
Bohyung Han,5,CVPR,2019
Yu Qiao,5,CVPR,2019
Quoc V. Le,4,CVPR,2019
Yaser Sheikh,4,CVPR,2019
Noah Snavely,4,CVPR,2019
Martial Hebert,4,CVPR,2019
Kaiming He,4,CVPR,2019
Ross Girshick,4,CVPR,2019
Linchao Bao,4,CVPR,2019
Xinmei Tian,4,CVPR,2019
Chi Zhang,4,CVPR,2019
Cewu Lu,4,CVPR,2019
Yannis Kalantidis,4,CVPR,2019
James M. Rehg,4,CVPR,2019
Jian Yang,4,CVPR,2019
Christian Theobalt,4,CVPR,2019
Dong Gong,4,CVPR,2019
Yung-Yu Chuang,4,CVPR,2019
Tao Xiang,4,CVPR,2019
Qingming Huang,4,CVPR,2019
Hao Su,4,CVPR,2019
Thomas Probst,4,CVPR,2019
Danda Pani Paudel,4,CVPR,2019
Lu Sheng,4,CVPR,2019
Shenghua Gao,4,CVPR,2019
Chao Ma,4,CVPR,2019
Kai Xu,4,CVPR,2019
Ning Xu,4,CVPR,2019
Yang Wang,4,CVPR,2019
Jianfei Cai,4,CVPR,2019
Andreas Velten,4,CVPR,2019
Errui Ding,4,CVPR,2019
Zheng-Jun Zha,4,CVPR,2019
Jiaying Liu,4,CVPR,2019
Trevor Darrell,4,CVPR,2019
Jing Shao,4,CVPR,2019
Antonio Torralba,4,CVPR,2019
Yi Zhou,4,CVPR,2019
Elisa Ricci,4,CVPR,2019
Manmohan Chandraker,4,CVPR,2019
Baochang Zhang,4,CVPR,2019
Mingsheng Long,4,CVPR,2019
Jianmin Wang,4,CVPR,2019
Weihong Deng,4,CVPR,2019
Feiyue Huang,4,CVPR,2019
Haibin Ling,4,CVPR,2019
Pascal Fua,4,CVPR,2019
Dong Chen,4,CVPR,2019
Lu Yuan,4,CVPR,2019
Jitendra Malik,4,CVPR,2019
Wenhan Luo,4,CVPR,2019
Wei Wu,4,CVPR,2019
Yunhong Wang,4,CVPR,2019
Joon-Young Lee,4,CVPR,2019
Bo Li,4,CVPR,2019
Xiaowei Zhou,4,CVPR,2019
Dong Wang,4,CVPR,2019
Zeynep Akata,4,CVPR,2019
Song-Chun Zhu,4,CVPR,2019
Xinlei Chen,4,CVPR,2019
Dhruv Batra,4,CVPR,2019
Hanwang Zhang,4,CVPR,2019
Devi Parikh,4,CVPR,2019
Shiguang Shan,4,CVPR,2019
Xilin Chen,4,CVPR,2019
Junsong Yuan,3,CVPR,2019
Chenxi Liu,3,CVPR,2019
Richard Tucker,3,CVPR,2019
Jonathan T. Barron,3,CVPR,2019
Ruigang Yang,3,CVPR,2019
Fabio Tosi,3,CVPR,2019
Matteo Poggi,3,CVPR,2019
Stefano Mattoccia,3,CVPR,2019
Luigi Di Stefano,3,CVPR,2019
Jean Ponce,3,CVPR,2019
Xiaodong Yang,3,CVPR,2019
Ming-Yu Liu,3,CVPR,2019
Chen Sun,3,CVPR,2019
Kevin Murphy,3,CVPR,2019
