author,count,conference,year
Jitendra Malik,7,ICCV,2015
Shuicheng Yan,7,ICCV,2015
Xiaogang Wang,7,ICCV,2015
Sanja Fidler,6,ICCV,2015
Cordelia Schmid,6,ICCV,2015
Pascal Fua,6,ICCV,2015
Tinne Tuytelaars,6,ICCV,2015
Jiaya Jia,6,ICCV,2015
Xiaoou Tang,6,ICCV,2015
Marc Pollefeys,6,ICCV,2015
Thomas Brox,6,ICCV,2015
Raquel Urtasun,5,ICCV,2015
Daniel Cremers,5,ICCV,2015
Torsten Sattler,5,ICCV,2015
Abhinav Gupta,5,ICCV,2015
Jiwen Lu,5,ICCV,2015
Mathieu Salzmann,5,ICCV,2015
Alan L. Yuille,5,ICCV,2015
Ping Luo,5,ICCV,2015
Trevor Darrell,5,ICCV,2015
Andrew Fitzgibbon,5,ICCV,2015
Qi Tian,4,ICCV,2015
Michael S. Brown,4,ICCV,2015
Lei Zhang,4,ICCV,2015
Deyu Meng,4,ICCV,2015
Vincent Lepetit,4,ICCV,2015
Yuri Boykov,4,ICCV,2015
Vikas Singh,4,ICCV,2015
Enrique Dunn,4,ICCV,2015
Jan-Michael Frahm,4,ICCV,2015
In So Kweon,4,ICCV,2015
Martial Hebert,4,ICCV,2015
Svetlana Lazebnik,4,ICCV,2015
Chang Huang,4,ICCV,2015
Xiaohui Shen,4,ICCV,2015
Li Fei-Fei,4,ICCV,2015
Jian Sun,4,ICCV,2015
Deva Ramanan,4,ICCV,2015
Kate Saenko,4,ICCV,2015
Alexei A. Efros,4,ICCV,2015
Shiguang Shan,4,ICCV,2015
Xilin Chen,4,ICCV,2015
Ivan Laptev,4,ICCV,2015
Marcus Rohrbach,3,ICCV,2015
Mario Fritz,3,ICCV,2015
Joao Carreira,3,ICCV,2015
Song-Chun Zhu,3,ICCV,2015
Stan Z. Li,3,ICCV,2015
Jingdong Wang,3,ICCV,2015
Weiyao Lin,3,ICCV,2015
Yong Rui,3,ICCV,2015
Xiaowu Chen,3,ICCV,2015
Nuno Vasconcelos,3,ICCV,2015
Qian Zhao,3,ICCV,2015
Brian Price,3,ICCV,2015
Antony Lam,3,ICCV,2015
Xin Li,3,ICCV,2015
Siwei Lyu,3,ICCV,2015
Nassir Navab,3,ICCV,2015
Sathya N. Ravi,3,ICCV,2015
Enliang Zheng,3,ICCV,2015
Bernard Ghanem,3,ICCV,2015
Konrad Schindler,3,ICCV,2015
Jean Ponce,3,ICCV,2015
Carsten Rother,3,ICCV,2015
Liang Wang,3,ICCV,2015
Zhe Lin,3,ICCV,2015
Si Liu,3,ICCV,2015
Rob Fergus,3,ICCV,2015
Ross Girshick,3,ICCV,2015
Ming-Hsuan Yang,3,ICCV,2015
Kevin P. Murphy,3,ICCV,2015
Yizhou Yu,3,ICCV,2015
Chen-Change Loy,3,ICCV,2015
Fernando De La Torre,3,ICCV,2015
Luc Van Gool,3,ICCV,2015
James M. Rehg,3,ICCV,2015
Nicu Sebe,3,ICCV,2015
Philipp Krahenbuhl,3,ICCV,2015
Yi Yang,3,ICCV,2015
Jamie Shotton,3,ICCV,2015
Wanli Ouyang,3,ICCV,2015
Cewu Lu,3,ICCV,2015
Shu Liu,3,ICCV,2015
Long Quan,3,ICCV,2015
Efstratios Gavves,3,ICCV,2015
Tao Xiang,3,ICCV,2015
Shaogang Gong,3,ICCV,2015
Tamara L. Berg,3,ICCV,2015
Lin Ma,3,ICCV,2015
Jie Zhou,3,ICCV,2015
Ravi Ramamoorthi,3,ICCV,2015
Larry S. Davis,3,ICCV,2015
Silvio Savarese,3,ICCV,2015
Ali Farhadi,2,ICCV,2015
Ruslan Salakhutdinov,2,ICCV,2015
Antonio Torralba,2,ICCV,2015
Tao Mei,2,ICCV,2015
Shubham Tulsiani,2,ICCV,2015
Yan Huang,2,ICCV,2015
Hui Ji,2,ICCV,2015
Zaid Harchaoui,2,ICCV,2015
Florent Perronin,2,ICCV,2015
Francesc Moreno-Noguer,2,ICCV,2015
Marco Pedersoli,2,ICCV,2015
Yanhua Cheng,2,ICCV,2015
Rui Cai,2,ICCV,2015
Chi Zhang,2,ICCV,2015
Zhiwei Li,2,ICCV,2015
Kaiqi Huang,2,ICCV,2015
Mohammed Bennamoun,2,ICCV,2015
Minh N. Do,2,ICCV,2015
Eli Shechtman,2,ICCV,2015
Junchi Yan,2,ICCV,2015
Hongteng Xu,2,ICCV,2015
Hongyuan Zha,2,ICCV,2015
Xiaokang Yang,2,ICCV,2015
Yu Li,2,ICCV,2015
Dongqing Zou,2,ICCV,2015
Wangmeng Zuo,2,ICCV,2015
Xiangchu Feng,2,ICCV,2015
Stephen Lin,2,ICCV,2015
Qi Xie,2,ICCV,2015
Yao Wang,2,ICCV,2015
Zongben Xu,2,ICCV,2015
Scott Cohen,2,ICCV,2015
Ying Fu,2,ICCV,2015
Imari Sato,2,ICCV,2015
Yoichi Sato,2,ICCV,2015
Longquan Dai,2,ICCV,2015
Feihu Zhang,2,ICCV,2015
Xiaopeng Zhang,2,ICCV,2015
Shiming Xiang,2,ICCV,2015
Jianchao Yang,2,ICCV,2015
Thomas Huang,2,ICCV,2015
Dmitrii Marin,2,ICCV,2015
Nikos Komodakis,2,ICCV,2015
Jean-Charles Bazin,2,ICCV,2015
Weisheng Dong,2,ICCV,2015
Guangming Shi,2,ICCV,2015
Ching L. Teo,2,ICCV,2015
Cornelia Fermuller,2,ICCV,2015
Yiannis Aloimonos,2,ICCV,2015
Fatih Porikli,2,ICCV,2015
Lorenzo Torresani,2,ICCV,2015
Matthias Ruther,2,ICCV,2015
Horst Bischof,2,ICCV,2015
Renjie Liao,2,ICCV,2015
Nanning Zheng,2,ICCV,2015
Gustavo Carneiro,2,ICCV,2015
Sterling C. Johnson,2,ICCV,2015
Calvin Murdock,2,ICCV,2015
Nathan Jacobs,2,ICCV,2015
Federico Tombari,2,ICCV,2015
Sai-Kit Yeung,2,ICCV,2015
Christian Theobalt,2,ICCV,2015
Simon Hadfield,2,ICCV,2015
Richard Bowden,2,ICCV,2015
Hyowon Ha,2,ICCV,2015
Kyungdon Joo,2,ICCV,2015
Hae-Gon Jeon,2,ICCV,2015
Yaser Sheikh,2,ICCV,2015
Iain Matthews,2,ICCV,2015
Jean-Yves Guillemaut,2,ICCV,2015
Adrian Hilton,2,ICCV,2015
Menglong Zhu,2,ICCV,2015
Xiaowei Zhou,2,ICCV,2015
Kostas Daniilidis,2,ICCV,2015
Subhransu Maji,2,ICCV,2015
Yinan Yu,2,ICCV,2015
David Kriegman,2,ICCV,2015
Serge Belongie,2,ICCV,2015
Radomir Mech,2,ICCV,2015
Xiaodan Liang,2,ICCV,2015
Luoqi Liu,2,ICCV,2015
Liang Lin,2,ICCV,2015
Kevin Tang,2,ICCV,2015
Manohar Paluri,2,ICCV,2015
Lubomir Bourdev,2,ICCV,2015
Jia Deng,2,ICCV,2015
Kaiming He,2,ICCV,2015
Stan Sclaroff,2,ICCV,2015
Rogerio S. Feris,2,ICCV,2015
Georgia Gkioxari,2,ICCV,2015
Aditya Khosla,2,ICCV,2015
Chunhong Pan,2,ICCV,2015
Shengjin Wang,2,ICCV,2015
Jiri Matas,2,ICCV,2015
Xiangbo Shu,2,ICCV,2015
Lars Petersson,2,ICCV,2015
George Papandreou,2,ICCV,2015
Baoyuan Wang,2,ICCV,2015
