author,count,conference,year
Xiaoou Tang,10,ICCV,2013
Luc Van Gool,10,ICCV,2013
Xiaogang Wang,8,ICCV,2013
Song-Chun Zhu,8,ICCV,2013
Shuicheng Yan,7,ICCV,2013
Cordelia Schmid,7,ICCV,2013
Daniel Cremers,6,ICCV,2013
Ming-Hsuan Yang,6,ICCV,2013
Lei Zhang,6,ICCV,2013
Jian Sun,5,ICCV,2013
Marc Pollefeys,5,ICCV,2013
Antonio Torralba,5,ICCV,2013
Kristen Grauman,5,ICCV,2013
Raquel Urtasun,4,ICCV,2013
Qiang Ji,4,ICCV,2013
Li Fei-Fei,4,ICCV,2013
Shaogang Gong,4,ICCV,2013
Loong-Fah Cheong,4,ICCV,2013
Karteek Alahari,4,ICCV,2013
In So Kweon,4,ICCV,2013
Bernt Schiele,4,ICCV,2013
Chunhua Shen,4,ICCV,2013
Jiaya Jia,4,ICCV,2013
Yu-Wing Tai,4,ICCV,2013
Devi Parikh,4,ICCV,2013
Tinne Tuytelaars,4,ICCV,2013
Jianxiong Xiao,4,ICCV,2013
Trevor Darrell,3,ICCV,2013
Ian Reid,3,ICCV,2013
Kaiming He,3,ICCV,2013
Yi Yang,3,ICCV,2013
Dahua Lin,3,ICCV,2013
Sanja Fidler,3,ICCV,2013
Jingdong Wang,3,ICCV,2013
Jianchao Yang,3,ICCV,2013
Horst Bischof,3,ICCV,2013
Silvio Savarese,3,ICCV,2013
Wei Liu,3,ICCV,2013
Greg Mori,3,ICCV,2013
Rene Vidal,3,ICCV,2013
Abhinav Gupta,3,ICCV,2013
Feiping Nie,3,ICCV,2013
Weidong Cai,3,ICCV,2013
Heng Huang,3,ICCV,2013
Martial Hebert,3,ICCV,2013
Liang Lin,3,ICCV,2013
Tao Xiang,3,ICCV,2013
Chen Change Loy,3,ICCV,2013
Stan Sclaroff,3,ICCV,2013
C.V. Jawahar,3,ICCV,2013
Fernando De La Torre,3,ICCV,2013
Herve Jegou,3,ICCV,2013
Gang Hua,3,ICCV,2013
Ming Yang,3,ICCV,2013
James M. Rehg,3,ICCV,2013
Sinisa Todorovic,3,ICCV,2013
Wanli Ouyang,3,ICCV,2013
Michael S. Brown,3,ICCV,2013
Anton Van Den Hengel,3,ICCV,2013
Christian Theobalt,3,ICCV,2013
Hongdong Li,3,ICCV,2013
Wangmeng Zuo,3,ICCV,2013
Cristian Sminchisescu,3,ICCV,2013
Kevin Koser,3,ICCV,2013
Jitendra Malik,3,ICCV,2013
Nanning Zheng,3,ICCV,2013
Ping Luo,3,ICCV,2013
Jingyi Yu,3,ICCV,2013
Zhe Lin,3,ICCV,2013
Yangqing Jia,2,ICCV,2013
Pierre Moulin,2,ICCV,2013
Jeffrey Ho,2,ICCV,2013
Zhongwen Xu,2,ICCV,2013
Nicu Sebe,2,ICCV,2013
Alexander G. Hauptmann,2,ICCV,2013
Dacheng Tao,2,ICCV,2013
Qifeng Chen,2,ICCV,2013
Vladlen Koltun,2,ICCV,2013
Naiyan Wang,2,ICCV,2013
Dit-Yan Yeung,2,ICCV,2013
Canyi Lu,2,ICCV,2013
Zhouchen Lin,2,ICCV,2013
Shai Avidan,2,ICCV,2013
Radu Timofte,2,ICCV,2013
Junliang Xing,2,ICCV,2013
Jin Gao,2,ICCV,2013
Weiming Hu,2,ICCV,2013
Haibin Ling,2,ICCV,2013
Ahmed Elgammal,2,ICCV,2013
Deli Zhao,2,ICCV,2013
Arash Vahdat,2,ICCV,2013
Stefanos Zafeiriou,2,ICCV,2013
Bangpeng Yao,2,ICCV,2013
Abhinav Shrivastava,2,ICCV,2013
Ping Tan,2,ICCV,2013
Alexander G. Schwing,2,ICCV,2013
Xiao Cai,2,ICCV,2013
Brian C. Lovell,2,ICCV,2013
Mathieu Salzmann,2,ICCV,2013
Srinivasa G. Narasimhan,2,ICCV,2013
Wei-Shi Zheng,2,ICCV,2013
Peter N. Belhumeur,2,ICCV,2013
Wei Xia,2,ICCV,2013
Jian Dong,2,ICCV,2013
Xiaokang Yang,2,ICCV,2013
Zhuowen Tu,2,ICCV,2013
Jianming Zhang,2,ICCV,2013
Gemma Roig,2,ICCV,2013
Xavier Boix,2,ICCV,2013
Nuno Vasconcelos,2,ICCV,2013
Christoph H. Lampert,2,ICCV,2013
Wei Wang,2,ICCV,2013
Santiago Manen,2,ICCV,2013
John Wright,2,ICCV,2013
Johannes Ulen,2,ICCV,2013
Yuri Boykov,2,ICCV,2013
Vladimir Kolmogorov,2,ICCV,2013
Hans-Peter Seidel,2,ICCV,2013
Joon-Young Lee,2,ICCV,2013
Yudeog Han,2,ICCV,2013
Matthieu Guillaumin,2,ICCV,2013
Maja Pantic,2,ICCV,2013
Paul Wohlhart,2,ICCV,2013
Peter M. Roth,2,ICCV,2013
Hongyuan Zha,2,ICCV,2013
Xiaowei Zhao,2,ICCV,2013
Shiguang Shan,2,ICCV,2013
Xilin Chen,2,ICCV,2013
Venu Madhav Govindu,2,ICCV,2013
Lingqiao Liu,2,ICCV,2013
Lei Wang,2,ICCV,2013
Fred A. Hamprecht,2,ICCV,2013
Chengjiang Long,2,ICCV,2013
Ying Wu,2,ICCV,2013
B.S. Manjunath,2,ICCV,2013
Lihe Zhang,2,ICCV,2013
Huchuan Lu,2,ICCV,2013
Xiaoyu Wang,2,ICCV,2013
Yuanqing Lin,2,ICCV,2013
Qi Tian,2,ICCV,2013
Jerome Revaud,2,ICCV,2013
William T. Freeman,2,ICCV,2013
Si Liu,2,ICCV,2013
Amit Agrawal,2,ICCV,2013
Ran He,2,ICCV,2013
Tieniu Tan,2,ICCV,2013
Mario Sznaier,2,ICCV,2013
Ming Shao,2,ICCV,2013
Yun Fu,2,ICCV,2013
Theo Gevers,2,ICCV,2013
Mehrtash Harandi,2,ICCV,2013
Piotr Dollar,2,ICCV,2013
C. L. Zitnick,2,ICCV,2013
Jianping Shi,2,ICCV,2013
Deyu Meng,2,ICCV,2013
Xiangchu Feng,2,ICCV,2013
David Zhang,2,ICCV,2013
Jean Ponce,2,ICCV,2013
Bastian Leibe,2,ICCV,2013
Mykhaylo Andriluka,2,ICCV,2013
Konrad Schindler,2,ICCV,2013
Stefan Roth,2,ICCV,2013
Li Xu,2,ICCV,2013
Aditya Khosla,2,ICCV,2013
Simon Lucey,2,ICCV,2013
Jiwen Lu,2,ICCV,2013
Gang Wang,2,ICCV,2013
Tianfu Wu,2,ICCV,2013
Silvia Zuffi,2,ICCV,2013
Michael J. Black,2,ICCV,2013
Yunde Jia,2,ICCV,2013
Xianfeng Gu,2,ICCV,2013
Noah Snavely,2,ICCV,2013
Mohit Gupta,2,ICCV,2013
Shree K. Nayar,2,ICCV,2013
Yung-Yu Chuang,2,ICCV,2013
Jia Deng,2,ICCV,2013
Alexander C. Berg,2,ICCV,2013
Thomas Brox,2,ICCV,2013
Tae Hyun Kim,2,ICCV,2013
Kyoung Mu Lee,2,ICCV,2013
Dani Lischinski,2,ICCV,2013
Hayko Riemenschneider,2,ICCV,2013
