author,count,conference,year
Ming-Hsuan Yang,17,CVPR,2018
Luc Van Gool,16,CVPR,2018
Xiaogang Wang,13,CVPR,2018
Wei Liu,13,CVPR,2018
Jan Kautz,11,CVPR,2018
Chunhua Shen,10,CVPR,2018
Jiashi Feng,10,CVPR,2018
Bernt Schiele,9,CVPR,2018
Liang Lin,9,CVPR,2018
Raquel Urtasun,9,CVPR,2018
Wanli Ouyang,9,CVPR,2018
Huchuan Lu,9,CVPR,2018
Junjie Yan,9,CVPR,2018
Gang Wang,9,CVPR,2018
Tao Xiang,9,CVPR,2018
Timothy M. Hospedales,9,CVPR,2018
Pascal Fua,8,CVPR,2018
Larry S. Davis,8,CVPR,2018
Song-Chun Zhu,8,CVPR,2018
Serge Belongie,8,CVPR,2018
Hongsheng Li,7,CVPR,2018
Peng Wang,7,CVPR,2018
Jitendra Malik,7,CVPR,2018
Ian Reid,7,CVPR,2018
Yi Yang,7,CVPR,2018
Sanja Fidler,7,CVPR,2018
Li Fei-Fei,7,CVPR,2018
Kristen Grauman,7,CVPR,2018
Wangmeng Zuo,7,CVPR,2018
Lei Zhang,7,CVPR,2018
Silvio Savarese,7,CVPR,2018
Ross Girshick,6,CVPR,2018
Christian Theobalt,6,CVPR,2018
Marc Pollefeys,6,CVPR,2018
Jimmy Ren,6,CVPR,2018
Junsong Yuan,6,CVPR,2018
Jiaya Jia,6,CVPR,2018
Wenguan Wang,6,CVPR,2018
Bingbing Ni,6,CVPR,2018
Yang Liu,6,CVPR,2018
Ali Borji,6,CVPR,2018
Cristian Sminchisescu,6,CVPR,2018
Dahua Lin,6,CVPR,2018
Jinshan Pan,6,CVPR,2018
Qi Wu,6,CVPR,2018
Gim Hee Lee,6,CVPR,2018
Abhinav Gupta,5,CVPR,2018
Bernard Ghanem,5,CVPR,2018
Cewu Lu,5,CVPR,2018
Mario Fritz,5,CVPR,2018
Yaser Sheikh,5,CVPR,2018
Fatih Porikli,5,CVPR,2018
Deqing Sun,5,CVPR,2018
Chen Change Loy,5,CVPR,2018
Shenghua Gao,5,CVPR,2018
Yu-Kun Lai,5,CVPR,2018
Nicu Sebe,5,CVPR,2018
Leonidas J. Guibas,5,CVPR,2018
Zhe Lin,5,CVPR,2018
Alan L. Yuille,5,CVPR,2018
Jingyi Yu,5,CVPR,2018
Jianping Shi,5,CVPR,2018
Lin Ma,5,CVPR,2018
Trevor Darrell,5,CVPR,2018
Tomer Michaeli,5,CVPR,2018
Jiwen Lu,5,CVPR,2018
Jie Zhou,5,CVPR,2018
In So Kweon,5,CVPR,2018
William T. Freeman,5,CVPR,2018
Ali Farhadi,5,CVPR,2018
Andrea Vedaldi,5,CVPR,2018
Anton Van Den Hengel,5,CVPR,2018
Yoshitaka Ushiku,5,CVPR,2018
Tatsuya Harada,5,CVPR,2018
Georgia Gkioxari,4,CVPR,2018
Laurens Van Der Maaten,4,CVPR,2018
Qi Tian,4,CVPR,2018
Wei Wang,4,CVPR,2018
Liang Wang,4,CVPR,2018
Torsten Sattler,4,CVPR,2018
Rongrong Ji,4,CVPR,2018
Alexei A. Efros,4,CVPR,2018
Xiaoming Liu,4,CVPR,2018
Rama Chellappa,4,CVPR,2018
Qiang Ji,4,CVPR,2018
Jianbing Shen,4,CVPR,2018
Yu Liu,4,CVPR,2018
Ling Shao,4,CVPR,2018
Ming-Yu Liu,4,CVPR,2018
Qifeng Chen,4,CVPR,2018
Vladlen Koltun,4,CVPR,2018
Dan Xu,4,CVPR,2018
Yi-Zhe Song,4,CVPR,2018
Philip H.S. Torr,4,CVPR,2018
Hao Su,4,CVPR,2018
Antonio Torralba,4,CVPR,2018
Honglak Lee,4,CVPR,2018
Vlad I. Morariu,4,CVPR,2018
Vittorio Ferrari,4,CVPR,2018
Stephen Gould,4,CVPR,2018
Shuai Yi,4,CVPR,2018
Yan Huang,4,CVPR,2018
Xiaohui Shen,4,CVPR,2018
Jimei Yang,4,CVPR,2018
Xiaodong He,4,CVPR,2018
Thomas S. Huang,4,CVPR,2018
Dacheng Tao,4,CVPR,2018
Wen Li,4,CVPR,2018
Xiaokang Yang,4,CVPR,2018
Shiguang Shan,4,CVPR,2018
Xilin Chen,4,CVPR,2018
Stefan Roth,4,CVPR,2018
Xiaolin Hu,4,CVPR,2018
Jun Zhu,4,CVPR,2018
Kaiqi Huang,4,CVPR,2018
Xiang Bai,4,CVPR,2018
Andreas Geiger,4,CVPR,2018
Ondřej Chum,4,CVPR,2018
Shuicheng Yan,4,CVPR,2018
Yan Wang,4,CVPR,2018
Jiebo Luo,4,CVPR,2018
Hang Su,4,CVPR,2018
Vincent Lepetit,4,CVPR,2018
Mathieu Salzmann,4,CVPR,2018
Pietro Perona,4,CVPR,2018
Paolo Favaro,4,CVPR,2018
Boxin Shi,4,CVPR,2018
Yasuyuki Matsushita,4,CVPR,2018
Toshihiko Yamasaki,4,CVPR,2018
Kiyoharu Aizawa,4,CVPR,2018
Alexander G. Schwing,4,CVPR,2018
Chuang Gan,4,CVPR,2018
Zhaowen Wang,4,CVPR,2018
Tao Mei,4,CVPR,2018
Kaiming He,4,CVPR,2018
Alex C. Kot,4,CVPR,2018
Juergen Gall,4,CVPR,2018
Jian Sun,4,CVPR,2018
Devi Parikh,3,CVPR,2018
Dhruv Batra,3,CVPR,2018
Martial Hebert,3,CVPR,2018
Fisher Yu,3,CVPR,2018
Florian Bernard,3,CVPR,2018
Jianwen Xie,3,CVPR,2018
Jiahao Pang,3,CVPR,2018
Wenxiu Sun,3,CVPR,2018
Slobodan Ilic,3,CVPR,2018
Matthew Fisher,3,CVPR,2018
Vladimir G. Kim,3,CVPR,2018
Yang Wang,3,CVPR,2018
Wei Xu,3,CVPR,2018
Ram Nevatia,3,CVPR,2018
Anoop Cherian,3,CVPR,2018
Zizhao Zhang,3,CVPR,2018
Xiaojuan Qi,3,CVPR,2018
Lorenzo Torresani,3,CVPR,2018
Manohar Paluri,3,CVPR,2018
Xuanyi Dong,3,CVPR,2018
Junliang Xing,3,CVPR,2018
Tae-Kyun Kim,3,CVPR,2018
Rui Zhao,3,CVPR,2018
Xiaowei Zhou,3,CVPR,2018
Kostas Daniilidis,3,CVPR,2018
Dong Wang,3,CVPR,2018
Markus Gross,3,CVPR,2018
Peng Zhou,3,CVPR,2018
Jianguo Hu,3,CVPR,2018
Wei Wu,3,CVPR,2018
Varun Jampani,3,CVPR,2018
Eli Shechtman,3,CVPR,2018
Stan Sclaroff,3,CVPR,2018
A. N. Rajagopalan,3,CVPR,2018
R. Venkatesh Babu,3,CVPR,2018
Xiaodan Liang,3,CVPR,2018
Jia Deng,3,CVPR,2018
