author,count,conference,year
Vinay Namboodiri,8,WACV,2020
Venkatesh Babu Radhakrishnan,5,WACV,2020
Alan Yuille,5,WACV,2020
Nasser Nasrabadi,4,WACV,2020
Francois Bremond,4,WACV,2020
Ming-Hsuan Yang,4,WACV,2020
Pravendra Singh,4,WACV,2020
Vinay Kumar Verma,4,WACV,2020
Piyush Rai,4,WACV,2020
Vineeth N Balasubramanian,4,WACV,2020
Soma  Biswas,4,WACV,2020
Balaji Krishnamurthy,4,WACV,2020
Juho  Kannala,4,WACV,2020
Jianbo Shi,3,WACV,2020
Ali Dabouei,3,WACV,2020
Fariborz Taherkhani,3,WACV,2020
Sobhan Soleymani,3,WACV,2020
Xiaohui Xie,3,WACV,2020
Jogendra Nath Kundu,3,WACV,2020
Stan Sclaroff,3,WACV,2020
Yi-Hsuan Tsai,3,WACV,2020
Manmohan Chandraker,3,WACV,2020
Guanghui Wang,3,WACV,2020
Lars Petersson,3,WACV,2020
C.V. Jawahar,3,WACV,2020
Gaurav Sharma,3,WACV,2020
Anurag Mittal,3,WACV,2020
Yang Wang,2,WACV,2020
Nick Barnes,2,WACV,2020
Stephen Gould,2,WACV,2020
Zejian Yuan,2,WACV,2020
Yonggen Ling,2,WACV,2020
Wanchao Chi,2,WACV,2020
Shenghao Zhang,2,WACV,2020
Chong Zhang,2,WACV,2020
Chuhang Zou,2,WACV,2020
Yulan Guo,2,WACV,2020
Jimmy Ren,2,WACV,2020
Ayan Chakrabarti,2,WACV,2020
Mehrsan Javan,2,WACV,2020
Yi Fang,2,WACV,2020
Didier Stricker,2,WACV,2020
Lingzhi Zhang,2,WACV,2020
Eric Granger,2,WACV,2020
Kevin Bowyer,2,WACV,2020
Jeremy Dawson,2,WACV,2020
Hadi Kazemi,2,WACV,2020
Lior Wolf,2,WACV,2020
Arun Ross,2,WACV,2020
Yifei Chen,2,WACV,2020
Haoyu Ma,2,WACV,2020
Deying Kong,2,WACV,2020
Wei Fan,2,WACV,2020
Hyun Soo Park,2,WACV,2020
Jianming Zhang,2,WACV,2020
Jia-Bin Huang,2,WACV,2020
Rahul M V,2,WACV,2020
Nicolas Monet,2,WACV,2020
Junnan Li,2,WACV,2020
Wong Yongkang,2,WACV,2020
Mohan Kankanhalli,2,WACV,2020
Oytun Ulutan,2,WACV,2020
Carlos Torres,2,WACV,2020
B. S. Manjunath,2,WACV,2020
Richard Radke,2,WACV,2020
Larry Davis,2,WACV,2020
Tingting Jiang,2,WACV,2020
Hassan Foroosh,2,WACV,2020
Astrid Orcesi,2,WACV,2020
Tanaya Guha,2,WACV,2020
Vitaly Ablavsky,2,WACV,2020
Wei-Chih Hung,2,WACV,2020
Abhinav Shrivastava,2,WACV,2020
Qiang Qiu,2,WACV,2020
Xiantong Zhen,2,WACV,2020
In So Kweon,2,WACV,2020
Shih-Han Chou,2,WACV,2020
Min Sun,2,WACV,2020
Jie Zhang,2,WACV,2020
Junting Zhang,2,WACV,2020
Shalini Ghosh,2,WACV,2020
Dawei Li,2,WACV,2020
Heming Zhang,2,WACV,2020
Yang Liu,2,WACV,2020
Jim Piavis,2,WACV,2020
Ashish Kapoor,2,WACV,2020
Yang Yang,2,WACV,2020
Wenju Xu,2,WACV,2020
Ziming Zhang,2,WACV,2020
Akshay Dhamija,2,WACV,2020
Terrance Boult,2,WACV,2020
Gustavo Carneiro,2,WACV,2020
Yuhua Chen,2,WACV,2020
Luc Van Gool,2,WACV,2020
Ahmed Ali,2,WACV,2020
Ali Hassan,2,WACV,2020
Afsheen Rafaqat Ali,2,WACV,2020
Hussam Ullah Khan,2,WACV,2020
Wajahat Kazmi,2,WACV,2020
Aamer Zaheer,2,WACV,2020
Siew-Kei Lam,2,WACV,2020
Peter Roth,2,WACV,2020
Titir Dutta,2,WACV,2020
Adrian Popescu,2,WACV,2020
Lei Zhang,2,WACV,2020
Zhishuai Zhang,2,WACV,2020
Wei Shen,2,WACV,2020
Devraj Mandal,2,WACV,2020
Takayuki Okatani,2,WACV,2020
Cristian Rodriguez,2,WACV,2020
Hongdong Li,2,WACV,2020
Lluis Gomez,2,WACV,2020
Dimosthenis Karatzas,2,WACV,2020
Scott Cohen,2,WACV,2020
Ruiping Wang,2,WACV,2020
Shiguang Shan,2,WACV,2020
Xilin Chen,2,WACV,2020
Yuta Nakashima,2,WACV,2020
Badri Patro,2,WACV,2020
Anoop Cherian,2,WACV,2020
Tim Marks,2,WACV,2020
Cheng Lu,2,WACV,2020
Yandong Guo,2,WACV,2020
Anirban Chakraborty,2,WACV,2020
Hong Qin,2,WACV,2020
Amelie Royer,2,WACV,2020
Christoph Lampert,2,WACV,2020
Burak Uzkent,2,WACV,2020
Stefano  Ermon,2,WACV,2020
Vincent Lepetit,2,WACV,2020
Mohsen Ali,2,WACV,2020
Ijaz Akhter,2,WACV,2020
Richard Hartley,2,WACV,2020
Kate Saenko,2,WACV,2020
Axel Pinz,2,WACV,2020
Edgar Riba,2,WACV,2020
Vladimir Nekrasov,2,WACV,2020
Hao Chen,2,WACV,2020
Chunhua Shen,2,WACV,2020
Ian Reid,2,WACV,2020
Shanmuganathan Raman,2,WACV,2020
Youngeun Kim,2,WACV,2020
Changick Kim,2,WACV,2020
Ayush Chopra,2,WACV,2020
Kumar Ayush,2,WACV,2020
Jinwei Gu,2,WACV,2020
Vikram Singh,2,WACV,2020
Zhangyang Wang,2,WACV,2020
Yifan Wu,2,WACV,2020
Hong Xuan,2,WACV,2020
Abby Stylianou,2,WACV,2020
Robert Pless,2,WACV,2020
Bharathkumar Ramachandra,2,WACV,2020
Michael Jones,2,WACV,2020
Subhasis Chaudhuri,2,WACV,2020
Parthipan Siva,2,WACV,2020
Neeraj  Matiyali,2,WACV,2020
Mehrtash Harandi,2,WACV,2020
Matthias Innmann,2,WACV,2020
Marc Stamminger,2,WACV,2020
Hyung Jin Chang,2,WACV,2020
Pietro Morerio,2,WACV,2020
Vittorio Murino,2,WACV,2020
Christoph Mayer,2,WACV,2020
Radu Timofte,2,WACV,2020
Luisa Polania,2,WACV,2020
Erickson Nascimento,2,WACV,2020
Jiancong  Wang,2,WACV,2020
Holger Roth,2,WACV,2020
Daguang Xu,2,WACV,2020
Lu Sang,1,WACV,2020
Bjoern Haefner,1,WACV,2020
Daniel Cremers,1,WACV,2020
Seyed Shahabeddin Nabavi,1,WACV,2020
Mehrdad  Hosseinzadeh,1,WACV,2020
Ramin Fahimi,1,WACV,2020
Sameera Ramasinghe,1,WACV,2020
Salman Khan,1,WACV,2020
Ang Li,1,WACV,2020
Derek Hoiem,1,WACV,2020
Suryansh Kumar,1,WACV,2020
Yongbin Sun,1,WACV,2020
Yue Wang,1,WACV,2020
Ziwei Liu,1,WACV,2020
Joshua Siegel,1,WACV,2020
Sanjay Sarma,1,WACV,2020
Chao Qu,1,WACV,2020
Ty  Nguyen,1,WACV,2020
Camillo Taylor,1,WACV,2020
Shubham Agrawal,1,WACV,2020
Anuj Pahuja,1,WACV,2020
Simon Lucey,1,WACV,2020
Zirui Wang,1,WACV,2020
Shuda Li,1,WACV,2020
Henry Howard-Jenkins,1,WACV,2020
Victor Prisacariu,1,WACV,2020
Min Chen,1,WACV,2020
David Hart,1,WACV,2020
Bryan Morse,1,WACV,2020
Jessica Greenland,1,WACV,2020
Jerin Geo James,1,WACV,2020
Ajit Rajwade,1,WACV,2020
Yingqian Wang,1,WACV,2020
Tianhao Wu,1,WACV,2020
Jungang Yang,1,WACV,2020
Longguang Wang,1,WACV,2020
Wei An,1,WACV,2020
Ryo Kawahara,1,WACV,2020
Meng-Yu Kuo,1,WACV,2020
Shohei Nobuhara,1,WACV,2020
Ko Nishino,1,WACV,2020
Charles Hessel,1,WACV,2020
Jean-Michel  Morel,1,WACV,2020
Abdullah Abuolaim,1,WACV,2020
Michael Brown,1,WACV,2020
Cedric Scheerlinck,1,WACV,2020
Henri Rebecq,1,WACV,2020
Daniel Gehrig,1,WACV,2020
Robert  Mahony,1,WACV,2020
Davide Scaramuzza,1,WACV,2020
Yicun Liu,1,WACV,2020
Jiawei Zhang,1,WACV,2020
Ye Ma,1,WACV,2020
Johannes Rangel,1,WACV,2020
Robert Schmoll,1,WACV,2020
Andreas Kroll,1,WACV,2020
Kyle Yee,1,WACV,2020
Jan Kallwies,1,WACV,2020
Torsten Engler,1,WACV,2020
Bianca Forkel,1,WACV,2020
Hans-Joachim Wuensche,1,WACV,2020
Wei Jiang,1,WACV,2020
Juan Camilo Gamboa Higuera,1,WACV,2020
Baptiste Angles,1,WACV,2020
Weiwei Sun,1,WACV,2020
Kwang Moo Yi,1,WACV,2020
Jing  Zhu,1,WACV,2020
Torben Fetzer,1,WACV,2020
Gerd Reis,1,WACV,2020
Tarmily Wen,1,WACV,2020
Fania Mokhayeri,1,WACV,2020
Kaveh Kamali,1,WACV,2020
Vitor Albiero,1,WACV,2020
Kushal Vangara,1,WACV,2020
Michael King,1,WACV,2020
Zhaokang Chen,1,WACV,2020
Bertram Shi,1,WACV,2020
Sushma Venkatesh,1,WACV,2020
Raghavendra Ramachandra,1,WACV,2020
Kiran Raja,1,WACV,2020
Luuk Spreeuwers,1,WACV,2020
Raymond Veldhuis,1,WACV,2020
Christoph Busch,1,WACV,2020
Philipe Ambrozio Dias,1,WACV,2020
Damiano Malafronte,1,WACV,2020
Henry Medeiros,1,WACV,2020
Francesca Odone,1,WACV,2020
Sandipan Banerjee,1,WACV,2020
Walter Scheirer,1,WACV,2020
Patrick Flynn,1,WACV,2020
Harsimran Kaur,1,WACV,2020
Roberto Manduchi,1,WACV,2020
Seyed Mehdi Iranmanesh,1,WACV,2020
Yoav Shalev,1,WACV,2020
Anurag Chowdhury,1,WACV,2020
Simon Kirchgasser,1,WACV,2020
Andreas Uhl,1,WACV,2020
Julia Gong,1,WACV,2020
Yannick Hold-Geoffroy,1,WACV,2020
Jingwan Lu,1,WACV,2020
Ratheesh Kalarot,1,WACV,2020
Tao Li,1,WACV,2020
Fatih Porikli,1,WACV,2020
Xiangyi Yan,1,WACV,2020
Jianbao Wu,1,WACV,2020
Jiajun Gu,1,WACV,2020
Zhiyong Wang,1,WACV,2020
Wanli Ouyang,1,WACV,2020
Weichen Zhang,1,WACV,2020
Jiafeng Li,1,WACV,2020
Li Zhuo,1,WACV,2020
Wei Li,1,WACV,2020
Shang Zhao,1,WACV,2020
Xiao Xiao,1,WACV,2020
James Hahn,1,WACV,2020
Liangjian Chen,1,WACV,2020
Shih-Yao Lin,1,WACV,2020
Yusheng Xie,1,WACV,2020
Yen-Yu Lin,1,WACV,2020
Yilun Zhang,1,WACV,2020
Fuyang Huang,1,WACV,2020
Ailing Zeng,1,WACV,2020
Minhao Liu,1,WACV,2020
Qiuxia Lai,1,WACV,2020
Qiang Xu,1,WACV,2020
Stephane Lathuiliere,1,WACV,2020
Enver Sangineto,1,WACV,2020
Aliaksandr Siarohin,1,WACV,2020
Nicu Sebe,1,WACV,2020
Caterina Buizza,1,WACV,2020
Tobias Fischer,1,WACV,2020
Yiannis Demiris,1,WACV,2020
Yuliang Zou,1,WACV,2020
Jimei Yang,1,WACV,2020
Duygu Ceylan,1,WACV,2020
Federico Perazzi,1,WACV,2020
Jay Patravali,1,WACV,2020
Dong-Hyun Hwang,1,WACV,2020
Suntae Kim,1,WACV,2020
Hideki Koike,1,WACV,2020
Soonmin Bae,1,WACV,2020
Iljung Kwak,1,WACV,2020
Jian-Zhong Guo,1,WACV,2020
Adam Hantman,1,WACV,2020
David Kriegman,1,WACV,2020
Kristin Branson,1,WACV,2020
Srijan Das,1,WACV,2020
Monique Thonnat,1,WACV,2020
Jianquan Liu,1,WACV,2020
Shoji Nishimura,1,WACV,2020
Aj Piergiovanni,1,WACV,2020
Michael Ryoo,1,WACV,2020
Swati Rallapalli,1,WACV,2020
Mudhakar Srivatsa,1,WACV,2020
Basura Fernando,1,WACV,2020
Cheston Tan,1,WACV,2020
Hakan Bilen,1,WACV,2020
Ashraful Islam,1,WACV,2020
Sadjad Asghari-Esfeden,1,WACV,2020
Mario Sznaier,1,WACV,2020
Octavia Camps,1,WACV,2020
Andrew Kae,1,WACV,2020
Yale Song,1,WACV,2020
Pallabi Ghosh,1,WACV,2020
Yi Yao,1,WACV,2020
Ajay Divakaran,1,WACV,2020
Sheng Li,1,WACV,2020
Tiejun Huang,1,WACV,2020
Yonghong Tian,1,WACV,2020
Yang Bo,1,WACV,2020
Yangdi Lu,1,WACV,2020
Wenbo  He,1,WACV,2020
Min-Hung Chen,1,WACV,2020
Baopu Li,1,WACV,2020
Yingze Bao,1,WACV,2020
Ghassan Alregib,1,WACV,2020
Maheen Rashid,1,WACV,2020
Hedvig Kjellstrom,1,WACV,2020
Yong Jae Lee,1,WACV,2020
Jonathan Stroud,1,WACV,2020
David Ross,1,WACV,2020
Chen Sun,1,WACV,2020
Jia Deng,1,WACV,2020
Rahul Sukthankar,1,WACV,2020
Sangwoo Cho,1,WACV,2020
Muhammad Maqbool,1,WACV,2020
Fei Liu,1,WACV,2020
Junqin Huang,1,WACV,2020
Zhenhuan Huang,1,WACV,2020
Xiang Xiang,1,WACV,2020
Xuan Gong,1,WACV,2020
Baochang Zhang,1,WACV,2020
Daisuke Miki,1,WACV,2020
Shi Chen,1,WACV,2020
Kazuyuki Demachi,1,WACV,2020
Guillaume Lorre,1,WACV,2020
Jaonary Rabarisoa,1,WACV,2020
Samia Ainouz,1,WACV,2020
Stephane Canu,1,WACV,2020
Kai Shuang,1,WACV,2020
Yuheng Huang,1,WACV,2020
Yue Sun,1,WACV,2020
Zhun Cai,1,WACV,2020
Hao Guo,1,WACV,2020
Heon Song,1,WACV,2020
Daiki Suehiro,1,WACV,2020
Seiichi Uchida,1,WACV,2020
Oliver Styles,1,WACV,2020
Victor Sanchez,1,WACV,2020
Qi Feng,1,WACV,2020
Qinxun Bai,1,WACV,2020
Guorong Li,1,WACV,2020
Yubo Qiu,1,WACV,2020
Jonathon Malcolm,1,WACV,2020
Sheikh Ziauddin,1,WACV,2020
Michael Greenspan,1,WACV,2020
Abhay Vatoo,1,WACV,2020
Jiahe Li,1,WACV,2020
Xu Gao,1,WACV,2020
Qixiang Ma,1,WACV,2020
Longyu Jiang,1,WACV,2020
Wenxue Yu,1,WACV,2020
Rui Jin,1,WACV,2020
Zhixiang Wu,1,WACV,2020
Fangjin Xu,1,WACV,2020
Jong-Chyi Su,1,WACV,2020
Kihyuk Sohn,1,WACV,2020
Buyu Liu,1,WACV,2020
Subhransu Maji,1,WACV,2020
Han-Kai Hsu,1,WACV,2020
Chun-Han Yao,1,WACV,2020
Hung-Yu Tseng,1,WACV,2020
